"STORY","IOWA"
"TAMA","IOWA"
"TAYLOR","IOWA"
"UNION","IOWA"
"VAN BUREN","IOWA"
"WAPELLO","IOWA"
"WARREN","IOWA"
"WASHINGTON","IOWA"
"WAYNE","IOWA"
"WEBSTER","IOWA"
"WINNEBAGO","IOWA"
"WINNESHIEK","IOWA"
"WOODBURY","IOWA"
"WORTH","IOWA"
"WRIGHT","IOWA"
"ANDERSON","KANSAS"
"ATCHISON","KANSAS"
"BARTON","KANSAS"
"BOURBON","KANSAS"
"BROWN","KANSAS"
"BUTLER","KANSAS"
"CHAUTAUQUA","KANSAS"
"CHEYENNE","KANSAS"
"CLAY","KANSAS"
"COFFEY","KANSAS"
"COWLEY","KANSAS"
"CRAWFORD","KANSAS"
"DICKINSON","KANSAS"
"DONIPHAN","KANSAS"
"DOUGLAS","KANSAS"
"ELK","KANSAS"
"FRANKLIN","KANSAS"
"GEARY","KANSAS"
"GREENWOOD","KANSAS"
"HARVEY","KANSAS"
"HASKELL","KANSAS"
"JACKSON","KANSAS"
"JEFFERSON","KANSAS"
"JEWELL","KANSAS"
"KINGMAN","KANSAS"
"LABETTE","KANSAS"
"LYON","KANSAS"
"MARION","KANSAS"
"MARSHALL","KANSAS"
"MCPHERSON","KANSAS"
"MIAMI","KANSAS"
"MITCHELL","KANSAS"
"MONTGOMERY","KANSAS"
"MORRIS","KANSAS"
"NEMAHA","KANSAS"
"NEOSHO","KANSAS"
"OSAGE","KANSAS"
"OSBORNE","KANSAS"
"OTTAWA","KANSAS"
"PAWNEE","KANSAS"
"PHILLIPS","KANSAS"
"POTTAWATOMIE","KANSAS"
"RENO","KANSAS"
"REPUBLIC","KANSAS"
"RICE","KANSAS"
"RILEY","KANSAS"
"RUSH","KANSAS"
"SALINE","KANSAS"
"SEDGWICK","KANSAS"
"SEWARD","KANSAS"
"SHAWNEE","KANSAS"
"SMITH","KANSAS"
"SUMNER","KANSAS"
"WASHINGTON","KANSAS"
"WILSON","KANSAS"
